FeatureID,MinScan,MaxScan,MinCharge,MaxCharge,MonoMass,RepScan,RepCharge,RepMz,Abundance,ApexScanNum,ApexIntensity,MinElutionTime,MaxElutionTime,ElutionLength,Envelope,LikelihoodRatio
2,153,223,8,19,11594.26279,167,18,0,56869292960,167,33198999175,3.3,4.29,0.99,"1,427841339.31;2,1398843691.15;3,2719293403.43;4,4498711105.24;5,6377692001.12;6,7553749211.83;7,7943142849.71;8,7343877485.89;9,6165262477.54;10,4655972408.88;11,3269384985.05;12,2278186001.36;13,1307778932.54;14,783579953.12;15,104180789.21;16,9769475.25;17,32020380.29;",1
3,1959,6085,9,22,13458.45052,5817,13,898.84,42333003221,5817,22671941897,139.95,148.03,8.09,"0,3669696.14;1,24588437.83;2,219834857.58;3,717439287.75;4,1594088939.16;5,2870160832.23;6,4154584084.94;7,5272751293.43;8,5909087353.58;9,5709403231.91;10,4920837299.55;11,3801735453.06;12,2843377970.15;13,1956421038.55;14,1249688406.98;15,743188423.32;16,315877709.96;17,26228287.29;",0.99
4,125,153,6,10,6180.557309,132,9,0,28648159376,132,14511816128,2.91,3.3,0.39,"0,917866378.68;1,2997377778.21;2,5129483865.38;3,5972333523.22;4,5464184393.07;5,3881873903.12;6,2280450812.04;7,1297644678.43;8,580884374.85;9,126059117.87;",1
5,181,195,12,27,16462.19451,181,23,659.9,18368085536,181,14275925429,3.71,3.9,0.19,"3,131699830.79;4,236469573.42;5,498970414.37;6,846098512.73;7,1437624973.42;8,1871599098.09;9,2148011287.34;10,2314594306.08;11,2162265485.35;12,1791559876.96;13,1512356383.05;14,1190487022.18;15,876234132.03;16,589652057.80;17,377808448.66;18,220138783.15;19,162513240.89;",1
6,174,188,14,28,16893.35228,181,27,0,18185532736,181,13837315256,3.59,3.81,0.21,"2,7402087.52;3,17807410.48;4,286902037.18;5,452555830.83;6,1591619136.84;7,1100297359.65;8,1429599655.80;9,2385297051.93;10,1870881101.84;11,1798421713.95;12,2122279851.19;13,1468796524.43;14,1068515257.94;15,932985875.14;16,498703058.58;17,459045490.61;18,401864697.50;19,137323216.72;20,155232788.36;",0.98
7,125,167,7,17,10460.47137,125,15,616.68,31308088832,125,13450125004,2.91,3.5,0.59,"0,8783352.99;1,387094994.10;2,981670261.64;3,1921300701.09;4,3000506156.24;5,4115550927.36;6,4677873767.95;7,4503454946.48;8,3920811787.23;9,2955043528.77;10,2066440347.88;11,1469313583.76;12,856491328.66;13,443749049.49;",0.99
8,216,258,9,22,13405.19057,216,20,610.66,19328887520,216,12331535971,4.19,4.81,0.62,"2,338533096.18;3,688875162.50;4,1233690310.89;5,1810191007.66;6,2358471647.67;7,2619832524.98;8,2502615639.23;9,2249924923.95;10,1908569563.47;11,1310028762.45;12,926929963.73;13,598276881.68;14,378790187.43;15,235173912.34;16,153169728.65;17,15810131.44;",1
9,104,160,5,11,6779.884227,104,10,0,21902019552,104,12041638397,2.6,3.4,0.79,"0,513702352.90;1,1855353394.73;2,3326805473.66;3,4239539414.71;4,4151467244.82;5,3279465597.05;6,2186087188.93;7,1258782392.88;8,643240739.96;9,307559437.15;10,140014462.44;",0.99
10,174,188,12,27,16478.16071,174,23,660.57,24370575360,174,11789795478,3.59,3.81,0.21,"3,258945836.63;4,397432282.52;5,947551097.79;6,1212122473.49;7,1797526911.55;8,2700840622.29;9,2603760810.00;10,2903087789.84;11,2689601123.94;12,2262738698.46;13,2009254715.84;14,1631960363.35;15,1154212894.49;16,778869546.00;17,465903548.07;18,311994351.27;19,244768735.90;",1
11,195,244,10,24,14722.77159,202,23,0,18881982480,202,9849370484,3.9,4.59,0.69,"3,194058637.87;4,511898761.76;5,869504119.36;6,1554742920.04;7,1990823855.45;8,2344763262.77;9,2523663344.01;10,2387354712.65;11,1991721703.06;12,1574022069.29;13,1196520495.88;14,777234039.22;15,470649367.04;16,352844488.57;17,134528663.96;18,7648321.96;",1
12,153,188,6,10,6245.272549,174,10,0,14577243200,174,7702140373,3.3,3.81,0.51,"0,611950316.27;1,1510429374.44;2,2379751577.81;3,2747078540.12;4,2491986469.77;5,2051238757.38;6,1354515813.80;7,770255632.77;8,439491678.29;9,220543995.09;",1
13,146,209,8,19,11610.23705,153,18,0,16988444448,153,7503103087,3.19,4.1,0.91,"1,177666115.78;2,468612140.68;3,817402649.51;4,1412295404.88;5,1851936026.99;6,2257265320.92;7,2336301492.12;8,2087605468.34;9,1829364530.32;10,1393476320.54;11,988527552.12;12,623102209.22;13,463985671.18;14,220036738.32;15,44620797.95;16,8259605.73;17,7981915.55;",1
14,209,244,9,22,13436.59508,216,21,0,16456529376,216,7395495461,4.1,4.59,0.5,"2,201588122.59;3,582153450.37;4,1029159855.84;5,1440775215.66;6,1893129898.10;7,2130773167.39;8,2203233392.33;9,1917599429.09;10,1564183323.94;11,1157805910.52;12,780597199.96;13,542180155.25;14,469130353.65;15,356764226.29;16,187452930.21;",1
15,1959,3184,9,22,13586.64725,2694,18,680.74,97977801132,2694,7204323405,55.16,68.49,13.33,"0,2465061.55;1,8957079.99;2,613218604.50;3,1667300463.48;4,3816896452.11;5,6799322782.56;6,10105686987.14;7,12576861260.47;8,13739511222.59;9,13019260096.19;10,11249537579.88;11,8788829055.31;12,6328927372.08;13,4208706174.07;14,2641879165.34;15,1540453148.51;16,867894759.29;17,2036655.73;",1
16,202,216,10,24,14764.62938,209,22,616.58,7771850240,209,6326138678,4,4.19,0.19,"3,252395729.51;4,204087587.69;5,538055029.49;6,557432228.91;7,745274028.80;8,876971477.14;9,1041429201.59;10,816158371.10;11,810801669.11;12,549980578.26;13,522356036.01;14,337666121.35;15,255696665.59;16,138232083.00;17,112663056.13;18,12648221.82;",0.99
17,1959,3688,9,22,13529.71953,2701,18,677.89,96011124937,2701,6202548591,55.16,82.99,27.83,"0,1285526.07;1,4007245.62;2,538274731.78;3,1600383647.94;4,3894983254.52;5,6750734719.02;6,9891495687.80;7,12369213320.78;8,13323872089.01;9,12708717323.77;10,11006931704.66;11,8495837292.76;12,6178323651.71;13,4183134412.01;14,2572825843.69;15,1510634321.92;16,929033165.38;17,18984941.82;18,32367749.81;",1
