FeatureID,MinScan,MaxScan,MinCharge,MaxCharge,MonoMass,RepScan,RepCharge,RepMz,Abundance,ApexScanNum,ApexIntensity,MinElutionTime,MaxElutionTime,ElutionLength,Envelope,LikelihoodRatio
2,1944,6254,9,22,13458.66705,5959,13,898.77,42021391922,5959,22368496447,139.92,148.17,8.25,"0,418445.80;1,12578789.40;2,325101809.34;3,864317236.12;4,1827995277.16;5,3058363740.13;6,4399902671.62;7,5466401756.84;8,5801287937.55;9,5438431672.48;10,4718660524.98;11,3497851551.91;12,2643645746.96;13,1788959645.09;14,1096170601.94;15,696025911.91;16,372042292.62;17,13198343.10;",1
3,65,107,6,10,6362.42231,65,7,708.28,23300375920,65,21060256203,1.66,2.44,0.78,"0,697221864.94;1,2337372179.20;2,4153668531.48;3,4706502512.23;4,4304192506.66;5,3313958596.53;6,2041191782.82;7,1136765874.66;8,597904744.44;9,11596545.82;",1
4,177,198,11,27,16462.19948,184,23,659.9,43253193472,184,18969645707,3.38,3.68,0.3,"3,256480164.89;4,620759321.83;5,1248189658.58;6,2230858991.71;7,3371165306.42;8,4302600540.30;9,5120747809.78;10,5322912473.00;11,4863189260.36;12,4396265734.23;13,3669720819.91;14,2866889787.38;15,1908400604.39;16,1327617953.15;17,792337628.06;18,564671944.71;19,390381237.89;",1
5,121,170,7,17,10461.37745,128,15,616.68,37177449792,128,16757080471,2.62,3.27,0.65,"1,241275811.29;2,2029446598.87;3,3317930230.73;4,4637442603.02;5,5570814751.88;6,5548185718.61;7,4892237565.34;8,3876560604.27;9,2790553394.31;10,1958510752.93;11,1178939151.42;12,652394043.40;13,363456871.62;14,119696978.21;",1
6,184,198,14,28,16893.33138,184,27,0,25327136128,184,16696988655,3.48,3.68,0.2,"3,34972177.22;4,234021821.83;5,543567333.53;6,1802899308.80;7,1742871628.69;8,2197505145.44;9,3008634358.19;10,2732586320.90;11,2741444341.70;12,2809858265.84;13,2184624884.27;14,1739726387.01;15,1395427463.70;16,835431359.24;17,560154175.11;18,437667509.36;19,209324901.33;20,116415610.82;",0.99
7,156,212,8,19,11594.36014,170,18,0,31791332256,170,14425954789,3.06,3.87,0.81,"1,211391574.10;2,851945829.16;3,1539108774.35;4,2653391268.44;5,3591404120.75;6,4264294330.48;7,4495454044.98;8,4225393964.14;9,3399689172.97;10,2557637142.25;11,1718035617.09;12,1120008156.81;13,683089552.44;14,389759900.07;15,90724214.63;",1
8,128,163,6,10,6180.554242,135,9,0,26645276672,135,13001910619,2.71,3.17,0.46,"0,870528963.62;1,2836186733.62;2,4806065188.00;3,5689258627.00;4,4891060938.75;5,3533185025.75;6,2102541212.38;7,1142368435.12;8,536172635.58;9,237908562.24;",1
9,177,191,11,27,16478.15497,177,23,660.5,22887712768,177,12236795354,3.38,3.58,0.2,"3,197135135.40;4,390709010.60;5,856305343.19;6,1153827831.73;7,1581545942.84;8,2378489624.28;9,2592093179.75;10,2745624919.67;11,2518011455.73;12,2256116525.24;13,1905556674.43;14,1498113834.12;15,1149404757.59;16,711032458.74;17,440742680.57;18,308432800.19;19,151842481.37;20,52725698.41;",1
10,219,261,9,22,13405.15354,219,20,610.66,26276500000,219,12162920612,3.97,4.56,0.59,"1,15670469.87;2,418884782.11;3,918073031.08;4,1706575320.47;5,2480289945.85;6,3216045724.62;7,3337355605.01;8,3419991735.92;9,3114977815.36;10,2530359998.91;11,1915082190.82;12,1298003160.88;13,792326171.86;14,582372500.19;15,306583892.68;16,202916214.81;17,6378544.66;18,14608495.30;",1
11,100,170,8,18,11323.53597,121,16,630.45,29602183360,121,10613774318,2.29,3.27,0.97,"1,155606776.37;2,1188640321.04;3,1986507911.77;4,2844506402.02;5,3557084318.47;6,3830745556.43;7,3837649948.10;8,3483138328.08;9,2707089377.49;10,2225579232.08;11,1582113155.78;12,1013361518.77;13,599619282.46;14,404724050.09;15,162533075.68;16,14432834.46;17,8843857.50;",1
12,212,247,9,22,13436.77905,219,21,0,20598680000,219,9419290858,3.87,4.37,0.5,"0,41106691.73;1,49275322.15;2,298627293.51;3,707503443.39;4,1181015084.62;5,1843422590.18;6,2613430896.92;7,2518073668.60;8,2546387311.38;9,2365841318.96;10,2002178066.69;11,1578004234.12;12,1002516251.30;13,666905493.85;14,498589438.28;15,278506720.91;16,207180855.06;17,58037230.16;18,83350563.96;19,58723990.10;",1
13,198,212,10,24,14722.74138,212,23,0,14632098944,212,8179315647,3.68,3.87,0.19,"2,22235575.58;3,170714877.85;4,393101676.73;5,693938677.36;6,1180920510.44;7,1598112582.25;8,1847205046.78;9,1881211261.88;10,1820951579.38;11,1508255370.20;12,1209819062.03;13,942813982.88;14,575229059.35;15,419600159.20;16,282242240.11;17,85745143.54;",1
14,212,233,12,24,14764.71237,212,22,616.66,11066566144,212,8084536031,3.87,4.16,0.29,"1,30563337.56;2,15543233.64;3,201649718.86;4,357853951.74;5,627034501.07;6,853512903.39;7,1223510084.15;8,1201038231.38;9,1363811415.72;10,1298691765.82;11,1263403416.63;12,792195172.52;13,741754746.81;14,468405608.64;15,324527890.09;16,191813326.94;17,98223967.19;18,13030731.23;",1
15,1094,1402,8,19,11374.53469,1129,15,670.5,1.06887E+11,1129,8054737258,20.05,25.52,5.47,"0,5951077.92;1,406315707.46;2,1710827546.23;3,4559900781.89;4,8569386118.03;5,12751526931.85;6,15421173632.11;7,16208030143.94;8,14620599559.74;9,11708054841.10;10,8569482852.89;11,5603521635.42;12,3497955425.21;13,2041232662.91;14,1172849141.59;15,39156280.89;16,960070.90;",1
16,156,184,6,10,6245.325517,177,10,0,14042105904,177,8023207910,3.06,3.48,0.42,"0,516294415.23;1,1371455493.70;2,2263227618.36;3,2599813125.26;4,2546351234.98;5,2052640745.50;6,1394696967.68;7,748357920.38;8,430903849.28;9,118363931.80;",1
17,100,163,8,18,11339.54619,114,16,631.4,15161922176,114,7948229877,2.29,3.17,0.87,"0,29557143.02;1,54984718.64;2,503423772.88;3,1145345033.62;4,1493361318.22;5,1866988081.87;6,1907783745.95;7,1946965083.14;8,1698239905.08;9,1406627753.89;10,1078753667.97;11,760814433.64;12,561250433.21;13,310742411.65;14,174671935.85;15,131884711.56;16,66022761.34;17,24499688.05;",0.99
